min,max,mean,median
21.5,21.5,21.5,21.5
20.7,20.7,20.7,20.7
20.0,20.0,20.0,20.0
19.2,19.2,19.2,19.2
18.2,18.2,18.2,18.2
17.1,17.1,17.1,17.1
16.1,16.1,16.1,16.1
15.8,15.8,15.8,15.8
14.8,14.8,14.8,14.8
14.8,14.8,14.8,14.8
13.6,13.6,13.6,13.6
13.1,13.1,13.1,13.1
13.5,13.5,13.5,13.5
11.8,11.8,11.8,11.8
11.7,11.7,11.7,11.7
12.0,12.0,12.0,12.0
11.0,11.0,11.0,11.0
10.7,10.7,10.7,10.7
10.3,10.3,10.3,10.3
10.7,10.7,10.7,10.7
10.7,10.7,10.7,10.7
10.3,10.3,10.3,10.3
9.5,9.5,9.5,9.5
9.9,9.9,9.9,9.9
9.4,9.4,9.4,9.4
9.5,9.5,9.5,9.5
9.2,9.2,9.2,9.2
9.5,9.5,9.5,9.5
9.5,9.5,9.5,9.5
9.4,9.4,9.4,9.4
9.2,9.2,9.2,9.2
9.2,9.2,9.2,9.2
9.4,9.4,9.4,9.4
9.5,9.5,9.5,9.5
9.7,9.7,9.7,9.7
11.0,11.0,11.0,11.0
11.5,11.5,11.5,11.5
12.2,12.2,12.2,12.2
12.8,12.8,12.8,12.8
14.1,14.1,14.1,14.1
16.1,16.1,16.1,16.1
17.3,17.3,17.3,17.3
19.7,19.7,19.7,19.7
21.2,21.2,21.2,21.2
23.7,23.7,23.7,23.7
25.5,25.5,25.5,25.5
27.1,27.1,27.1,27.1
28.6,28.6,28.6,28.6
29.4,29.4,29.4,29.4
30.4,30.4,30.4,30.4
42.1,42.1,42.1,42.1
30.1,30.1,30.1,30.1
29.8,29.8,29.8,29.8
28.9,28.9,28.9,28.9
27.3,27.3,27.3,27.3
26.3,26.3,26.3,26.3
25.3,25.3,25.3,25.3
25.3,25.3,25.3,25.3
25.0,25.0,25.0,25.0
24.8,24.8,24.8,24.8
23.8,23.8,23.8,23.8
23.5,23.5,23.5,23.5
23.2,23.2,23.2,23.2
24.0,24.0,24.0,24.0
23.5,23.5,23.5,23.5
23.2,23.2,23.2,23.2
23.2,23.2,23.2,23.2
23.3,23.3,23.3,23.3
22.5,22.5,22.5,22.5
21.7,21.7,21.7,21.7
21.4,21.4,21.4,21.4
21.2,21.2,21.2,21.2
22.2,22.2,22.2,22.2
22.4,22.4,22.4,22.4
21.4,21.4,21.4,21.4
22.2,22.2,22.2,22.2
22.8,22.8,22.8,22.8
24.3,24.3,24.3,24.3
25.0,25.0,25.0,25.0
23.8,23.8,23.8,23.8
23.5,23.5,23.5,23.5
24.0,24.0,24.0,24.0
23.7,23.7,23.7,23.7
24.8,24.8,24.8,24.8
23.2,23.2,23.2,23.2
22.5,22.5,22.5,22.5
22.8,22.8,22.8,22.8
22.4,22.4,22.4,22.4
22.8,22.8,22.8,22.8
22.7,22.7,22.7,22.7
21.5,21.5,21.5,21.5
20.9,20.9,20.9,20.9
20.7,20.7,20.7,20.7
20.2,20.2,20.2,20.2
20.0,20.0,20.0,20.0
20.2,20.2,20.2,20.2
18.9,18.9,18.9,18.9
19.2,19.2,19.2,19.2
19.6,19.6,19.6,19.6
18.9,18.9,18.9,18.9
19.7,19.7,19.7,19.7
19.7,19.7,19.7,19.7
19.7,19.7,19.7,19.7
20.2,20.2,20.2,20.2
20.9,20.9,20.9,20.9
21.7,21.7,21.7,21.7
22.2,22.2,22.2,22.2
22.5,22.5,22.5,22.5
22.5,22.5,22.5,22.5
23.7,23.7,23.7,23.7
24.0,24.0,24.0,24.0
24.3,24.3,24.3,24.3
26.0,26.0,26.0,26.0
26.1,26.1,26.1,26.1
26.6,26.6,26.6,26.6
26.0,26.0,26.0,26.0
26.1,26.1,26.1,26.1
26.1,26.1,26.1,26.1
27.1,27.1,27.1,27.1
27.0,27.0,27.0,27.0
27.3,27.3,27.3,27.3
27.3,27.3,27.3,27.3
27.6,27.6,27.6,27.6
28.4,28.4,28.4,28.4
28.1,28.1,28.1,28.1
28.6,28.6,28.6,28.6
28.9,28.9,28.9,28.9
28.9,28.9,28.9,28.9
29.3,29.3,29.3,29.3
29.1,29.1,29.1,29.1
29.1,29.1,29.1,29.1
29.4,29.4,29.4,29.4
29.4,29.4,29.4,29.4
29.3,29.3,29.3,29.3
29.1,29.1,29.1,29.1
28.9,28.9,28.9,28.9
28.1,28.1,28.1,28.1
27.3,27.3,27.3,27.3
26.5,26.5,26.5,26.5
25.3,25.3,25.3,25.3
25.0,25.0,25.0,25.0
23.7,23.7,23.7,23.7
23.0,23.0,23.0,23.0
22.0,22.0,22.0,22.0
