min,max,mean,median
21.2,21.2,21.2,21.2
20.4,20.4,20.4,20.4
19.9,19.9,19.9,19.9
18.6,18.6,18.6,18.6
18.1,18.1,18.1,18.1
17.3,17.3,17.3,17.3
16.9,16.9,16.9,16.9
16.6,16.6,16.6,16.6
15.9,15.9,15.9,15.9
15.1,15.1,15.1,15.1
13.8,13.8,13.8,13.8
14.1,14.1,14.1,14.1
13.0,13.0,13.0,13.0
12.8,12.8,12.8,12.8
11.8,11.8,11.8,11.8
11.5,11.5,11.5,11.5
11.2,11.2,11.2,11.2
11.2,11.2,11.2,11.2
10.3,10.3,10.3,10.3
10.7,10.7,10.7,10.7
10.2,10.2,10.2,10.2
9.9,9.9,9.9,9.9
9.2,9.2,9.2,9.2
9.7,9.7,9.7,9.7
9.5,9.5,9.5,9.5
9.4,9.4,9.4,9.4
9.0,9.0,9.0,9.0
9.5,9.5,9.5,9.5
9.2,9.2,9.2,9.2
9.0,9.0,9.0,9.0
8.7,8.7,8.7,8.7
9.0,9.0,9.0,9.0
9.7,9.7,9.7,9.7
9.4,9.4,9.4,9.4
10.0,10.0,10.0,10.0
10.2,10.2,10.2,10.2
10.5,10.5,10.5,10.5
11.3,11.3,11.3,11.3
13.3,13.3,13.3,13.3
14.1,14.1,14.1,14.1
15.4,15.4,15.4,15.4
17.3,17.3,17.3,17.3
19.2,19.2,19.2,19.2
21.0,21.0,21.0,21.0
23.7,23.7,23.7,23.7
25.1,25.1,25.1,25.1
27.1,27.1,27.1,27.1
28.4,28.4,28.4,28.4
29.4,29.4,29.4,29.4
30.1,30.1,30.1,30.1
32.2,32.2,32.2,32.2
29.3,29.3,29.3,29.3
29.9,29.9,29.9,29.9
29.1,29.1,29.1,29.1
28.8,28.8,28.8,28.8
27.0,27.0,27.0,27.0
25.3,25.3,25.3,25.3
25.0,25.0,25.0,25.0
25.5,25.5,25.5,25.5
25.1,25.1,25.1,25.1
24.3,24.3,24.3,24.3
25.0,25.0,25.0,25.0
24.3,24.3,24.3,24.3
24.0,24.0,24.0,24.0
23.2,23.2,23.2,23.2
23.5,23.5,23.5,23.5
23.3,23.3,23.3,23.3
22.2,22.2,22.2,22.2
22.4,22.4,22.4,22.4
22.7,22.7,22.7,22.7
21.4,21.4,21.4,21.4
21.9,21.9,21.9,21.9
22.2,22.2,22.2,22.2
21.7,21.7,21.7,21.7
21.5,21.5,21.5,21.5
21.5,21.5,21.5,21.5
22.4,22.4,22.4,22.4
22.4,22.4,22.4,22.4
22.7,22.7,22.7,22.7
22.8,22.8,22.8,22.8
23.3,23.3,23.3,23.3
23.5,23.5,23.5,23.5
23.7,23.7,23.7,23.7
24.0,24.0,24.0,24.0
23.5,23.5,23.5,23.5
23.0,23.0,23.0,23.0
23.0,23.0,23.0,23.0
22.5,22.5,22.5,22.5
22.5,22.5,22.5,22.5
22.7,22.7,22.7,22.7
21.5,21.5,21.5,21.5
20.7,20.7,20.7,20.7
20.9,20.9,20.9,20.9
21.0,21.0,21.0,21.0
20.5,20.5,20.5,20.5
19.6,19.6,19.6,19.6
19.9,19.9,19.9,19.9
19.7,19.7,19.7,19.7
19.2,19.2,19.2,19.2
19.6,19.6,19.6,19.6
20.0,20.0,20.0,20.0
20.2,20.2,20.2,20.2
20.7,20.7,20.7,20.7
21.4,21.4,21.4,21.4
22.4,22.4,22.4,22.4
22.5,22.5,22.5,22.5
22.4,22.4,22.4,22.4
23.5,23.5,23.5,23.5
23.0,23.0,23.0,23.0
23.3,23.3,23.3,23.3
23.5,23.5,23.5,23.5
23.8,23.8,23.8,23.8
24.0,24.0,24.0,24.0
25.1,25.1,25.1,25.1
25.8,25.8,25.8,25.8
25.1,25.1,25.1,25.1
26.1,26.1,26.1,26.1
26.5,26.5,26.5,26.5
26.6,26.6,26.6,26.6
27.1,27.1,27.1,27.1
27.1,27.1,27.1,27.1
27.1,27.1,27.1,27.1
27.8,27.8,27.8,27.8
28.3,28.3,28.3,28.3
27.8,27.8,27.8,27.8
27.9,27.9,27.9,27.9
28.3,28.3,28.3,28.3
27.9,27.9,27.9,27.9
27.9,27.9,27.9,27.9
27.8,27.8,27.8,27.8
27.6,27.6,27.6,27.6
27.8,27.8,27.8,27.8
28.3,28.3,28.3,28.3
27.9,27.9,27.9,27.9
27.3,27.3,27.3,27.3
27.3,27.3,27.3,27.3
26.6,26.6,26.6,26.6
26.6,26.6,26.6,26.6
25.3,25.3,25.3,25.3
24.8,24.8,24.8,24.8
24.7,24.7,24.7,24.7
23.5,23.7,23.6,23.6
23.7,23.7,23.7,23.7
23.3,23.3,23.3,23.3
23.7,23.7,23.7,23.7
23.8,23.8,23.8,23.8
23.5,23.7,23.6,23.6
23.5,23.5,23.5,23.5
23.7,23.7,23.7,23.7
23.2,23.2,23.2,23.2
23.0,23.0,23.0,23.0
23.5,23.5,23.5,23.5
23.2,23.2,23.2,23.2
